# Samenstelling huishoudens per gemeente (2020)
# Bron: CBS - https://opendata.cbs.nl/statline/#/CBS/nl/dataset/71486NED/table?fromstatweb
# Kolommen:
#   Totaal particuliere huishoudens (aantal)
#   eenpersoonshuishouden (aantal)
#   Totaal meerpersoonshuishoudens (aantal)
#   Totaal niet-gehuwde paren (aantal)
#   Totaal gehuwde paren (aantal)
#   Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)
#   Meerpersoonshuishouden/2 personen (aantal)
#   Meerpersoonshuishouden/3 personen (aantal)
#   Meerpersoonshuishouden/4 personen (aantal)
#   Meerpersoonshuishouden/5 of meer personen (aantal)
Gemeente,Jaar,nHH,n1PHH,nMPHH,nPaarNietGehuwd,nPaarGehuwd,nEenOuder,n2PHH,n3pHH,n4PHH,n5PHH
Opmeer,2020,5018.0,1566.0,3452.0,693.0,2468.0,280.0,1738.0,623.0,746.0,345.0
Ouder-Amstel,2020,6314.0,2316.0,3998.0,884.0,2558.0,534.0,2006.0,796.0,865.0,331.0
Purmerend,2020,36654.0,12706.0,23948.0,4672.0,15556.0,3585.0,12348.0,5393.0,4849.0,1358.0
Schagen,2020,20548.0,6888.0,13660.0,2685.0,9547.0,1354.0,7430.0,2304.0,2739.0,1187.0
Schermer,2020,,,,,,,,,,
Schoorl,2020,,,,,,,,,,
Stede Broec,2020,9161.0,2610.0,6551.0,1073.0,4777.0,667.0,3451.0,1195.0,1345.0,560.0
Texel,2020,6414.0,2422.0,3992.0,784.0,2812.0,384.0,2377.0,731.0,604.0,280.0
Uitgeest,2020,5701.0,1597.0,4104.0,827.0,2840.0,424.0,1979.0,807.0,1016.0,302.0
Uithoorn,2020,12792.0,4193.0,8599.0,1647.0,5763.0,1143.0,4105.0,1950.0,1930.0,614.0
Velsen,2020,31058.0,11109.0,19949.0,4062.0,13186.0,2588.0,10295.0,4197.0,4116.0,1341.0
Venhuizen,2020,,,,,,,,,,
Waterland,2020,7558.0,2334.0,5224.0,956.0,3740.0,505.0,2722.0,969.0,1151.0,382.0
Weesp,2020,9174.0,3600.0,5574.0,1266.0,3633.0,627.0,2928.0,1095.0,1136.0,415.0
Wervershoof,2020,,,,,,,,,,
Wester-Koggenland,2020,,,,,,,,,,
Wieringen,2020,,,,,,,,,,
Wieringermeer,2020,,,,,,,,,,
Wijdemeren,2020,10667.0,3384.0,7283.0,1561.0,4987.0,702.0,3818.0,1405.0,1545.0,515.0
Wognum,2020,,,,,,,,,,
Wormerland,2020,7107.0,2230.0,4877.0,905.0,3404.0,547.0,2532.0,961.0,1027.0,357.0
Zaanstad,2020,70358.0,25391.0,44967.0,9309.0,28236.0,7071.0,22475.0,9696.0,9381.0,3415.0
Zandvoort,2020,8555.0,3721.0,4834.0,1136.0,2898.0,771.0,2798.0,995.0,810.0,231.0
Zeevang,2020,,,,,,,,,,
Zijpe,2020,,,,,,,,,,
Ter Aar,2020,,,,,,,,,,
Alblasserdam,2020,8236.0,2502.0,5734.0,706.0,4406.0,601.0,2809.0,1038.0,1150.0,737.0
Albrandswaard,2020,10508.0,2907.0,7601.0,1372.0,5401.0,803.0,3537.0,1724.0,1811.0,529.0
Alkemade,2020,,,,,,,,,,
Alphen aan den Rijn,2020,48720.0,16078.0,32642.0,6372.0,22588.0,3489.0,16864.0,6262.0,6748.0,2768.0
Axel,2020,,,,,,,,,,
Barendrecht,2020,19273.0,4828.0,14445.0,2340.0,10478.0,1561.0,6566.0,3039.0,3484.0,1356.0
Bergambacht,2020,,,,,,,,,,
Bergschenhoek,2020,,,,,,,,,,
Berkel en Rodenrijs,2020,,,,,,,,,,
Bernisse,2020,,,,,,,,,,
Binnenmaas,2020,,,,,,,,,,
Bleiswijk,2020,,,,,,,,,,
Bodegraven,2020,,,,,,,,,,
Bodegraven-Reeuwijk,2020,14359.0,4112.0,10247.0,1718.0,7592.0,874.0,5173.0,1844.0,2085.0,1145.0
Borsele,2020,9505.0,2810.0,6695.0,1053.0,5079.0,536.0,3549.0,1219.0,1213.0,714.0
Boskoop,2020,,,,,,,,,,
Brielle,2020,7795.0,2550.0,5245.0,976.0,3695.0,553.0,2931.0,1045.0,965.0,304.0
Capelle aan den IJssel,2020,31343.0,12070.0,19273.0,3471.0,12175.0,3445.0,10274.0,4158.0,3499.0,1342.0
Cromstrijen,2020,,,,,,,,,,
Delft,2020,58852.0,33625.0,25227.0,6787.0,14449.0,3555.0,14640.0,4720.0,4267.0,1600.0
Dirksland,2020,,,,,,,,,,
Dordrecht,2020,55014.0,21641.0,33373.0,6214.0,22099.0,4777.0,17456.0,6951.0,6295.0,2671.0
Giessenlanden,2020,,,,,,,,,,
Goedereede,2020,,,,,,,,,,
Goeree-Overflakkee,2020,21138.0,6447.0,14691.0,1855.0,11691.0,1094.0,7918.0,2608.0,2676.0,1489.0
Goes,2020,17776.0,6845.0,10931.0,1911.0,7765.0,1200.0,6260.0,1990.0,1841.0,840.0
Gorinchem,2020,16666.0,6299.0,10367.0,2010.0,7007.0,1262.0,5276.0,2054.0,2028.0,1009.0
Gouda,2020,33475.0,12976.0,20499.0,3975.0,13904.0,2440.0,10905.0,3875.0,3682.0,2037.0
Graafstroom,2020,,,,,,,,,,
's-Gravendeel,2020,,,,,,,,,,
's-Gravenhage (gemeente),2020,268306.0,128868.0,139438.0,36169.0,76049.0,25032.0,69296.0,30036.0,26711.0,13395.0
's-Gravenzande,2020,,,,,,,,,,
Hardinxveld-Giessendam,2020,7110.0,1971.0,5139.0,491.0,4290.0,327.0,2396.0,941.0,1035.0,767.0
Heerjansdam,2020,,,,,,,,,,
Hellevoetsluis,2020,18035.0,5812.0,12223.0,2071.0,8563.0,1544.0,6660.0,2594.0,2222.0,747.0
Hendrik-Ido-Ambacht,2020,12197.0,3049.0,9148.0,1334.0,6958.0,829.0,4163.0,1823.0,2166.0,996.0
Hillegom,2020,9904.0,3386.0,6518.0,1385.0,4394.0,698.0,3419.0,1331.0,1316.0,452.0
Hoeksche Waard,2020,37135.0,10573.0,26562.0,4061.0,20127.0,2275.0,14297.0,5051.0,5050.0,2164.0
Hontenisse,2020,,,,,,,,,,
Hulst,2020,12668.0,4210.0,8458.0,1581.0,6083.0,753.0,5025.0,1609.0,1373.0,451.0
Jacobswoude,2020,,,,,,,,,,
Kaag en Braassem,2020,11671.0,3414.0,8257.0,1655.0,5840.0,728.0,4317.0,1550.0,1716.0,674.0
Kapelle,2020,5271.0,1438.0,3833.0,526.0,2996.0,300.0,2010.0,695.0,751.0,377.0
Katwijk,2020,26615.0,8143.0,18472.0,2309.0,14464.0,1615.0,8614.0,3367.0,4070.0,2421.0
Korendijk,2020,,,,,,,,,,
Krimpen aan den IJssel,2020,12420.0,3772.0,8648.0,1045.0,6514.0,1033.0,4504.0,1671.0,1586.0,887.0
Krimpenerwaard,2020,23726.0,7307.0,16419.0,2444.0,12530.0,1362.0,8529.0,2976.0,3146.0,1768.0
Lansingerland,2020,23841.0,5412.0,18429.0,3383.0,13002.0,1976.0,7784.0,3973.0,4913.0,1759.0
Leerdam,2020,,,,,,,,,,
Leiden,2020,68699.0,37323.0,31376.0,9411.0,17682.0,3772.0,17876.0,5913.0,5457.0,2130.0
Leiderdorp,2020,12124.0,4213.0,7911.0,1494.0,5555.0,819.0,4112.0,1500.0,1734.0,565.0
Leidschendam,2020,,,,,,,,,,
Leidschendam-Voorburg,2020,36723.0,15131.0,21592.0,4437.0,13937.0,3063.0,11753.0,4279.0,4107.0,1453.0
Liemeer,2020,,,,,,,,,,
De Lier,2020,,,,,,,,,,
Liesveld,2020,,,,,,,,,,
Lisse,2020,10227.0,3398.0,6829.0,1265.0,4832.0,707.0,3657.0,1272.0,1376.0,524.0
Maasland,2020,,,,,,,,,,
Maassluis,2020,14982.0,5158.0,9824.0,1615.0,6951.0,1183.0,5320.0,1918.0,1845.0,741.0
Middelburg (Z.),2020,23052.0,9340.0,13712.0,2329.0,9593.0,1720.0,7703.0,2489.0,2393.0,1127.0
Middelharnis,2020,,,,,,,,,,
Midden-Delfland,2020,7832.0,2088.0,5744.0,909.0,4347.0,464.0,2752.0,1068.0,1349.0,575.0
Molenlanden,2020,16795.0,4316.0,12479.0,1422.0,10118.0,881.0,5858.0,2197.0,2498.0,1926.0
Molenwaard,2020,,,,,,,,,,
Monster,2020,,,,,,,,,,
Moordrecht,2020,,,,,,,,,,
Naaldwijk,2020,,,,,,,,,,
Nederlek,2020,,,,,,,,,,
Nieuwerkerk aan den IJssel,2020,,,,,,,,,,
Nieuwkoop,2020,11808.0,3252.0,8556.0,1662.0,6166.0,686.0,4393.0,1558.0,1831.0,774.0
Nieuw-Lekkerland,2020,,,,,,,,,,
Nissewaard,2020,38586.0,12998.0,25588.0,4443.0,17131.0,3896.0,13744.0,5595.0,4695.0,1554.0
Noord-Beveland,2020,3588.0,1341.0,2247.0,406.0,1641.0,191.0,1442.0,344.0,326.0,135.0
Noordwijk,2020,19680.0,7303.0,12377.0,2614.0,8320.0,1375.0,6576.0,2414.0,2399.0,988.0
Noordwijkerhout,2020,,,,,,,,,,
Nootdorp,2020,,,,,,,,,,
Oegstgeest,2020,10773.0,3660.0,7113.0,1384.0,4962.0,741.0,3525.0,1322.0,1634.0,632.0
Oostburg,2020,,,,,,,,,,
Oostflakkee,2020,,,,,,,,,,
Oud-Beijerland,2020,,,,,,,,,,
Ouderkerk,2020,,,,,,,,,,
Papendrecht,2020,14076.0,4475.0,9601.0,1385.0,7040.0,1130.0,5039.0,1852.0,1981.0,729.0
Pijnacker,2020,,,,,,,,,,
Pijnacker-Nootdorp,2020,21511.0,5386.0,16125.0,3016.0,11351.0,1697.0,6870.0,3374.0,4402.0,1479.0
Reeuwijk,2020,,,,,,,,,,
Reimerswaal,2020,9060.0,2779.0,6281.0,810.0,4943.0,497.0,3013.0,1104.0,1164.0,1000.0
Ridderkerk,2020,20803.0,7122.0,13681.0,2065.0,9905.0,1627.0,7497.0,2761.0,2358.0,1065.0
Rijnsburg,2020,,,,,,,,,,
Rijnwoude,2020,,,,,,,,,,
Rijswijk (ZH.),2020,26470.0,11107.0,15363.0,3371.0,9384.0,2470.0,8521.0,3227.0,2701.0,914.0
Rotterdam,2020,328283.0,158909.0,169374.0,43518.0,88161.0,34305.0,90299.0,36193.0,28248.0,14634.0
Rozenburg,2020,,,,,,,,,,
Sas van Gent,2020,,,,,,,,,,
Sassenheim,2020,,,,,,,,,,
Schiedam,2020,37562.0,15686.0,21876.0,4658.0,13171.0,3741.0,11363.0,4890.0,3978.0,1645.0
Schipluiden,2020,,,,,,,,,,
Schoonhoven,2020,,,,,,,,,,
Schouwen-Duiveland,2020,15518.0,5233.0,10285.0,1540.0,7848.0,854.0,6166.0,1752.0,1604.0,763.0
Sliedrecht,2020,10430.0,3516.0,6914.0,788.0,5383.0,692.0,3413.0,1283.0,1384.0,834.0
Sluis,2020,11278.0,4215.0,7063.0,1347.0,5056.0,626.0,4354.0,1286.0,1046.0,377.0
Sluis-Aardenburg,2020,,,,,,,,,,
Spijkenisse,2020,,,,,,,,,,
Strijen,2020,,,,,,,,,,
Terneuzen,2020,25688.0,9446.0,16242.0,2776.0,11604.0,1787.0,9526.0,3050.0,2662.0,1004.0
Teylingen,2020,15871.0,4871.0,11000.0,2065.0,7814.0,1073.0,5465.0,2139.0,2508.0,888.0
Tholen,2020,10503.0,3121.0,7382.0,1002.0,5747.0,602.0,3755.0,1273.0,1438.0,916.0
Valkenburg (ZH.),2020,,,,,,,,,,
Veere,2020,9450.0,2903.0,6547.0,837.0,5302.0,390.0,3736.0,1046.0,1146.0,619.0
Vlaardingen,2020,34717.0,13897.0,20820.0,3750.0,13485.0,3425.0,11344.0,4231.0,3817.0,1428.0
Vlissingen,2020,22342.0,9890.0,12452.0,2295.0,8272.0,1802.0,7329.0,2325.0,2055.0,743.0
Vlist,2020,,,,,,,,,,
Voorburg,2020,,,,,,,,,,
Voorhout,2020,,,,,,,,,,
Voorschoten,2020,11225.0,3776.0,7449.0,1381.0,5167.0,859.0,3852.0,1358.0,1637.0,602.0
Waddinxveen,2020,12186.0,3499.0,8687.0,1445.0,6449.0,743.0,4423.0,1648.0,1730.0,886.0
Warmond,2020,,,,,,,,,,
Wassenaar,2020,11529.0,4050.0,7479.0,1132.0,5439.0,886.0,3767.0,1433.0,1604.0,675.0
Wateringen,2020,,,,,,,,,,
Westland,2020,46574.0,14385.0,32189.0,5892.0,23174.0,2956.0,15804.0,6129.0,7357.0,2899.0
Westvoorne,2020,6668.0,2082.0,4586.0,746.0,3443.0,388.0,2639.0,866.0,809.0,272.0
Zederik,2020,,,,,,,,,,
Zevenhuizen-Moerkapelle,2020,,,,,,,,,,
Zoetermeer,2020,56027.0,19243.0,36784.0,6992.0,23750.0,5785.0,18975.0,7629.0,7334.0,2846.0
Zoeterwoude,2020,3479.0,963.0,2516.0,457.0,1821.0,228.0,1279.0,485.0,561.0,191.0
Zuidplas,2020,17847.0,4788.0,13059.0,2157.0,9528.0,1312.0,6306.0,2690.0,2900.0,1163.0
Zwijndrecht,2020,20162.0,6926.0,13236.0,2080.0,9218.0,1866.0,7211.0,2655.0,2383.0,987.0
Aalburg,2020,,,,,,,,,,
Alphen-Chaam,2020,4222.0,1075.0,3147.0,599.0,2332.0,208.0,1714.0,503.0,651.0,279.0
Altena,2020,22357.0,6066.0,16291.0,2192.0,12790.0,1242.0,8024.0,2980.0,3300.0,1987.0
Ambt Montfort,2020,,,,,,,,,,
Arcen en Velden,2020,,,,,,,,,,
Asten,2020,7159.0,2303.0,4856.0,871.0,3577.0,382.0,2526.0,828.0,1014.0,488.0
Baarle-Nassau,2020,3076.0,1001.0,2075.0,389.0,1474.0,197.0,1184.0,340.0,399.0,152.0
Beek (L.),2020,7320.0,2347.0,4973.0,858.0,3589.0,497.0,2913.0,983.0,842.0,235.0
Beekdaelen,2020,16181.0,4882.0,11299.0,1940.0,8197.0,1103.0,6611.0,2174.0,1977.0,537.0
Beesel,2020,5895.0,1706.0,4189.0,715.0,3079.0,373.0,2292.0,794.0,865.0,238.0
Belfeld,2020,,,,,,,,,,
Bergeijk,2020,7863.0,2195.0,5668.0,1012.0,4189.0,437.0,3032.0,976.0,1162.0,498.0
Bergen (L.),2020,5650.0,1590.0,4060.0,796.0,2901.0,341.0,2251.0,737.0,803.0,269.0
Bergen op Zoom,2020,30447.0,10597.0,19850.0,3564.0,13898.0,2270.0,11031.0,3844.0,3535.0,1440.0
Bernheze,2020,12646.0,3396.0,9250.0,1770.0,6679.0,768.0,4622.0,1598.0,2097.0,933.0
Best,2020,12839.0,3779.0,9060.0,1666.0,6413.0,949.0,4616.0,1702.0,2096.0,646.0
Bladel,2020,8650.0,2560.0,6090.0,1223.0,4363.0,473.0,3256.0,965.0,1328.0,541.0
Boekel,2020,4170.0,1062.0,3108.0,646.0,2220.0,231.0,1475.0,527.0,732.0,374.0
Born,2020,,,,,,,,,,
Boxmeer,2020,12515.0,3701.0,8814.0,1727.0,6298.0,747.0,4913.0,1438.0,1779.0,684.0
Boxtel,2020,13607.0,4659.0,8948.0,1661.0,6265.0,965.0,4884.0,1503.0,1806.0,755.0
Breda,2020,88351.0,37657.0,50694.0,13378.0,30485.0,6304.0,27290.0,9579.0,9942.0,3883.0
Broekhuizen,2020,,,,,,,,,,
Brunssum,2020,13580.0,5237.0,8343.0,1526.0,5642.0,1129.0,5010.0,1704.0,1277.0,352.0
Cranendonck,2020,8896.0,2592.0,6304.0,1237.0,4489.0,541.0,3510.0,1102.0,1267.0,425.0
Cuijk,2020,11024.0,3513.0,7511.0,1582.0,5142.0,748.0,4068.0,1341.0,1517.0,585.0
Deurne,2020,13764.0,4145.0,9619.0,1808.0,6920.0,844.0,5181.0,1554.0,1996.0,888.0
Dongen,2020,11164.0,3240.0,7924.0,1445.0,5673.0,763.0,4174.0,1513.0,1678.0,559.0
Drimmelen,2020,11633.0,3272.0,8361.0,1590.0,6075.0,662.0,4523.0,1592.0,1698.0,548.0
Echt,2020,,,,,,,,,,
Echt-Susteren,2020,14195.0,4480.0,9715.0,1926.0,6820.0,925.0,5633.0,1946.0,1692.0,444.0
Eersel,2020,8118.0,2383.0,5735.0,1063.0,4234.0,418.0,3116.0,900.0,1198.0,521.0
Eijsden,2020,,,,,,,,,,
Eijsden-Margraten,2020,11078.0,2963.0,8115.0,1411.0,6074.0,587.0,4522.0,1568.0,1575.0,450.0
Eindhoven,2020,120980.0,58471.0,62509.0,16808.0,36588.0,8365.0,35019.0,12012.0,11379.0,4099.0
Etten-Leur,2020,18881.0,5722.0,13159.0,2519.0,9157.0,1417.0,6824.0,2578.0,2802.0,955.0
Geertruidenberg,2020,9385.0,2835.0,6550.0,1268.0,4557.0,699.0,3501.0,1317.0,1341.0,391.0
Geldrop,2020,,,,,,,,,,
Geldrop-Mierlo,2020,17747.0,5852.0,11895.0,2304.0,8231.0,1307.0,6417.0,2224.0,2426.0,828.0
Geleen,2020,,,,,,,,,,
Gemert-Bakel,2020,13056.0,3885.0,9171.0,1898.0,6399.0,829.0,4737.0,1596.0,2007.0,831.0
Gennep,2020,7231.0,2296.0,4935.0,975.0,3481.0,444.0,2674.0,913.0,1003.0,345.0
Gilze en Rijen,2020,11200.0,3276.0,7924.0,1411.0,5653.0,822.0,4248.0,1423.0,1655.0,598.0
Goirle,2020,10192.0,2889.0,7303.0,1375.0,5226.0,677.0,3969.0,1256.0,1570.0,508.0
Grave,2020,5318.0,1690.0,3628.0,726.0,2534.0,358.0,2006.0,639.0,729.0,254.0
Grubbenvorst,2020,,,,,,,,,,
Gulpen-Wittem,2020,6546.0,2098.0,4448.0,736.0,3336.0,344.0,2706.0,830.0,709.0,203.0
Haaren,2020,5912.0,1637.0,4275.0,816.0,3131.0,314.0,2301.0,716.0,869.0,389.0
Haelen,2020,,,,,,,,,,
Halderberge,2020,13103.0,3773.0,9330.0,1556.0,6805.0,904.0,5265.0,1670.0,1744.0,651.0
Heel,2020,,,,,,,,,,
Heerlen,2020,45247.0,20830.0,24417.0,5086.0,14960.0,4174.0,14914.0,4963.0,3389.0,1151.0
Heeze-Leende,2020,6791.0,1920.0,4871.0,906.0,3573.0,367.0,2671.0,797.0,978.0,425.0
Helden,2020,,,,,,,,,,
Helmond,2020,41077.0,14226.0,26851.0,5719.0,17475.0,3494.0,13654.0,5406.0,5623.0,2168.0
's-Hertogenbosch,2020,73408.0,29457.0,43951.0,11292.0,26964.0,5308.0,24062.0,8230.0,8536.0,3123.0
Heusden,2020,19095.0,5594.0,13501.0,2617.0,9659.0,1164.0,7058.0,2507.0,2920.0,1016.0
Heythuysen,2020,,,,,,,,,,
Hilvarenbeek,2020,6540.0,1847.0,4693.0,863.0,3488.0,322.0,2515.0,749.0,1019.0,410.0
Horst,2020,,,,,,,,,,
Horst aan de Maas,2020,18092.0,5408.0,12684.0,2579.0,9095.0,950.0,6783.0,2100.0,2735.0,1066.0
Hunsel,2020,,,,,,,,,,
Kerkrade,2020,22967.0,9419.0,13548.0,2410.0,9078.0,1965.0,8421.0,2769.0,1843.0,515.0
Kessel,2020,,,,,,,,,,
Laarbeek,2020,9492.0,2675.0,6817.0,1315.0,4923.0,549.0,3589.0,1197.0,1470.0,561.0
Landerd,2020,6400.0,1771.0,4629.0,978.0,3261.0,361.0,2349.0,775.0,1021.0,484.0
Landgraaf,2020,17697.0,6213.0,11484.0,2038.0,7984.0,1404.0,6892.0,2398.0,1719.0,475.0
Leudal,2020,15765.0,4848.0,10917.0,2106.0,7908.0,843.0,6167.0,1931.0,2161.0,658.0
Lith,2020,,,,,,,,,,
Loon op Zand,2020,10127.0,2998.0,7129.0,1442.0,5016.0,639.0,3830.0,1348.0,1463.0,488.0
Maasbracht,2020,,,,,,,,,,
Maasbree,2020,,,,,,,,,,
Maasdonk,2020,,,,,,,,,,
Maasgouw,2020,10648.0,3304.0,7344.0,1499.0,5224.0,580.0,4368.0,1298.0,1339.0,339.0
Maastricht,2020,68903.0,37863.0,31040.0,7684.0,19071.0,3938.0,19485.0,5854.0,4288.0,1413.0
Margraten,2020,,,,,,,,,,
Meerlo-Wanssum,2020,,,,,,,,,,
Meerssen,2020,8493.0,2607.0,5886.0,1056.0,4252.0,546.0,3430.0,1109.0,1078.0,269.0
Meierijstad,2020,34619.0,10430.0,24189.0,4868.0,16958.0,2246.0,12664.0,4314.0,5065.0,2146.0
Meijel,2020,,,,,,,,,,
Mierlo,2020,,,,,,,,,,
Mill en Sint Hubert,2020,4561.0,1217.0,3344.0,667.0,2417.0,238.0,1787.0,566.0,723.0,268.0
Moerdijk,2020,16337.0,5014.0,11323.0,2151.0,8043.0,1074.0,6220.0,2127.0,2198.0,778.0
Mook en Middelaar,2020,3545.0,1104.0,2441.0,469.0,1759.0,201.0,1426.0,422.0,438.0,155.0
Nederweert,2020,7308.0,2057.0,5251.0,955.0,3901.0,365.0,2922.0,873.0,1083.0,373.0
"Nuenen, Gerwen en Nederwetten",2020,10144.0,2895.0,7249.0,1260.0,5311.0,645.0,3998.0,1265.0,1479.0,507.0
Nuth,2020,,,,,,,,,,
Oirschot,2020,7714.0,2124.0,5590.0,1094.0,4067.0,401.0,2874.0,963.0,1199.0,554.0
Oisterwijk,2020,11257.0,3501.0,7756.0,1573.0,5416.0,727.0,4225.0,1322.0,1660.0,549.0
Onderbanken,2020,,,,,,,,,,
Oosterhout,2020,25055.0,8086.0,16969.0,3180.0,11831.0,1864.0,9420.0,3143.0,3230.0,1176.0
Oss,2020,40557.0,13630.0,26927.0,5347.0,18479.0,2924.0,13968.0,5159.0,5684.0,2116.0
Peel en Maas,2020,18251.0,5092.0,13159.0,2692.0,9488.0,917.0,7021.0,2292.0,2758.0,1088.0
Ravenstein,2020,,,,,,,,,,
Reusel-De Mierden,2020,5491.0,1551.0,3940.0,707.0,2918.0,293.0,2068.0,654.0,821.0,397.0
Roerdalen,2020,9362.0,2875.0,6487.0,1228.0,4598.0,628.0,3890.0,1228.0,1076.0,293.0
Roermond,2020,28005.0,11322.0,16683.0,3903.0,10470.0,2206.0,9388.0,3276.0,2950.0,1069.0
Roggel en Neer,2020,,,,,,,,,,
Roosendaal,2020,35293.0,12755.0,22538.0,4100.0,15628.0,2635.0,12418.0,4297.0,4185.0,1638.0
Rucphen,2020,9927.0,2779.0,7148.0,1260.0,5281.0,571.0,3848.0,1599.0,1274.0,427.0
Schijndel,2020,,,,,,,,,,
Schinnen,2020,,,,,,,,,,
Sevenum,2020,,,,,,,,,,
Simpelveld,2020,4939.0,1637.0,3302.0,553.0,2412.0,328.0,1964.0,658.0,533.0,147.0
Sint Anthonis,2020,4693.0,1254.0,3439.0,681.0,2531.0,208.0,1792.0,562.0,688.0,397.0
Sint-Michielsgestel,2020,11992.0,3329.0,8663.0,1575.0,6366.0,687.0,4361.0,1478.0,2010.0,814.0
Sint-Oedenrode,2020,,,,,,,,,,
Sittard,2020,,,,,,,,,,
Sittard-Geleen,2020,45137.0,17898.0,27239.0,5631.0,18080.0,3355.0,16192.0,5360.0,4457.0,1230.0
Someren,2020,8188.0,2409.0,5779.0,1100.0,4244.0,405.0,3035.0,980.0,1239.0,525.0
Son en Breugel,2020,7264.0,2086.0,5178.0,1015.0,3679.0,470.0,2668.0,888.0,1208.0,414.0
Steenbergen,2020,11255.0,3973.0,7282.0,1418.0,5191.0,637.0,4109.0,1374.0,1359.0,440.0
Stein (L.),2020,11606.0,3596.0,8010.0,1392.0,5813.0,771.0,4820.0,1586.0,1303.0,301.0
Susteren,2020,,,,,,,,,,
Swalmen,2020,,,,,,,,,,
Tegelen,2020,,,,,,,,,,
Thorn,2020,,,,,,,,,,
Tilburg,2020,108875.0,49696.0,59179.0,15086.0,35194.0,8171.0,32116.0,11772.0,11105.0,4186.0
Uden,2020,18724.0,6431.0,12293.0,2686.0,8169.0,1373.0,6547.0,2172.0,2601.0,973.0
Vaals,2020,5488.0,2653.0,2835.0,486.0,2026.0,306.0,1860.0,493.0,383.0,99.0
Valkenburg aan de Geul,2020,7894.0,2998.0,4896.0,967.0,3448.0,452.0,2953.0,961.0,784.0,198.0
Valkenswaard,2020,14493.0,5036.0,9457.0,1843.0,6561.0,1003.0,5519.0,1652.0,1752.0,534.0
Veghel,2020,,,,,,,,,,
Veldhoven,2020,20019.0,6420.0,13599.0,2447.0,9743.0,1353.0,7284.0,2528.0,2939.0,848.0
Venlo,2020,47964.0,18466.0,29498.0,5927.0,19838.0,3514.0,16489.0,5652.0,5337.0,2020.0
Venray,2020,19000.0,6211.0,12789.0,2443.0,9029.0,1249.0,6880.0,2243.0,2626.0,1040.0
Voerendaal,2020,5605.0,1625.0,3980.0,670.0,2903.0,385.0,2346.0,727.0,696.0,211.0
Vught,2020,11272.0,3790.0,7482.0,1581.0,5073.0,804.0,3811.0,1361.0,1678.0,632.0
Waalre,2020,7579.0,2322.0,5257.0,991.0,3740.0,502.0,2761.0,953.0,1136.0,407.0
Waalwijk,2020,21824.0,7350.0,14474.0,2820.0,10018.0,1545.0,7843.0,2750.0,2886.0,995.0
Weert,2020,22729.0,8103.0,14626.0,2916.0,10128.0,1491.0,8091.0,2655.0,2885.0,995.0
Werkendam,2020,,,,,,,,,,
Woensdrecht,2020,9622.0,2782.0,6840.0,1166.0,5033.0,617.0,3867.0,1313.0,1303.0,357.0
Woudrichem,2020,,,,,,,,,,
Zundert,2020,9501.0,2926.0,6575.0,1339.0,4711.0,490.0,3633.0,1172.0,1304.0,466.0
